OMIM.ID	UMLS.ID
OMIM:184095	C3159322
OMIM:184250	C0700635
OMIM:184252	C0265280
OMIM:184460	C1866656
OMIM:184500	C0259771
OMIM:184840	C1861481
OMIM:184900	C1861456
OMIM:185300	C0038505
OMIM:185500	C0003499
OMIM:185800	C1861385
OMIM:186000	C1861367
OMIM:186000	C2699746
OMIM:186100	C1861366
OMIM:186200	C1861355
OMIM:186300	C1861348
OMIM:186500	C0342282
OMIM:186570	C1861305
OMIM:186580	C1861303
OMIM:186580	C1836122
OMIM:187300	C0039445
OMIM:187500	C0039685
OMIM:187600	C0039743
OMIM:187600	C2931282
OMIM:187601	C1834928
OMIM:187950	C0040028
OMIM:188030	C0398650
OMIM:188400	C0012236
OMIM:188550	C0238463
OMIM:188740	C1861099
OMIM:189500	C0406716
OMIM:189960	C0014850
OMIM:190320	C0265333
OMIM:190440	C0265535
OMIM:190685	C0013080
OMIM:190900	C0155017
OMIM:191100	C0041341
OMIM:191480	C0432347
OMIM:191830	C1619700
OMIM:191900	C0268390
OMIM:192315	C1860518
OMIM:192350	C0220708
OMIM:192500	C1141890
OMIM:192500	C0035828
OMIM:192950	C0240912
OMIM:193100	C0342642
OMIM:193220	C2674009
OMIM:193220	C3888099
OMIM:193230	C1860405
OMIM:193300	C0019562
OMIM:193400	C1264039
OMIM:193400	C0042974
OMIM:193500	C1847800
OMIM:193510	C2700265
OMIM:193520	C0553586
OMIM:193530	C0457013
OMIM:193670	C0472817
OMIM:193700	C0265224
OMIM:193900	C1721005
OMIM:194050	C0175702
OMIM:194070	C0027708
OMIM:194072	C0206115
OMIM:194080	C0950121
OMIM:194190	C1956097
OMIM:194190	C0796117
OMIM:194300	C0345427
OMIM:200100	C0000744
OMIM:200110	C1860224
OMIM:200150	C0393576
OMIM:200500	C0265559
OMIM:200600	C0265273
OMIM:200610	C0001079
OMIM:200610	C0220685
OMIM:200610	C0542428
OMIM:200700	C0265260
OMIM:200950	C0268410
OMIM:200990	C0796147
OMIM:201000	C1275078
OMIM:201100	C0221036
OMIM:201250	C2930970
OMIM:201450	C0220710
OMIM:201475	C3887523
OMIM:201710	C0001627
OMIM:201710	C0342474
OMIM:201910	C2936858
OMIM:202010	C0268292
OMIM:202110	C0268285
OMIM:202300	C0206686
OMIM:202400	C2584774
OMIM:203100	C0268494
OMIM:203200	C0268495
OMIM:203290	C0342683
OMIM:203400	C0268293
OMIM:203450	C0270726
OMIM:203500	C0002066
OMIM:203700	C0205710
OMIM:203740	C2752074
OMIM:203750	C1536500
OMIM:203780	C1567744
OMIM:203800	C0268425
OMIM:204000	C0339527
OMIM:204300	C0022797
OMIM:204500	C1876161
OMIM:204650	C0399367
OMIM:204690	C2931783
OMIM:204870	C0339273
OMIM:205400	C0039292
OMIM:206100	C2673913
OMIM:206200	C0085576
OMIM:206700	C0431401
OMIM:206900	C1859773
OMIM:206920	C0599973
OMIM:207410	C0265307
OMIM:207750	C0268199
OMIM:207800	C0268548
OMIM:207900	C0268547
OMIM:208000	C1859727
OMIM:208050	C1859726
OMIM:208085	C1859722
OMIM:208150	C1276035
OMIM:208230	C0432215
OMIM:208250	C1859690
OMIM:208400	C0268225
OMIM:208530	C0175707
OMIM:208540	C2673883
OMIM:208900	C0004135
OMIM:208920	C1859598
OMIM:209300	C0521802
OMIM:209500	C1859592
OMIM:209880	C1275808
OMIM:209880	C1859587
OMIM:209885	C1319466
OMIM:209900	C0752166
OMIM:209920	C2931418
OMIM:209950	C2930924
OMIM:210000	C0221061
OMIM:210200	C0268600
OMIM:210250	C0342907
OMIM:210250	C0272281
OMIM:210370	C1859486
OMIM:210600	C0265202
OMIM:210720	C0432246
OMIM:210900	C0005859
OMIM:211180	C1859405
OMIM:211400	C0339985
OMIM:211500	C0015708
OMIM:211530	C0796274
OMIM:211750	C0796095
OMIM:212065	C0349653
OMIM:212066	C2931008
OMIM:212112	C0796031
OMIM:212138	C0342791
OMIM:212140	C0342788
OMIM:212350	C1859317
OMIM:212720	C0796037
OMIM:212780	C1859309
OMIM:212840	C1859305
OMIM:213200	C1859298
OMIM:213600	C0393590
OMIM:213700	C0238052
OMIM:214100	C0043459
