:START_ID|Source|:END_ID|:TYPE
ENTREZ:22933|NCBI_Entrez_Gene|MIM:604480|belongs_to
ENTREZ:30819|NCBI_Entrez_Gene|MIM:604661|belongs_to
ENTREZ:51133|NCBI_Entrez_Gene|MIM:613272|belongs_to
ENTREZ:64422|NCBI_Entrez_Gene|MIM:609606|belongs_to
ENTREZ:23011|NCBI_Entrez_Gene|MIM:612398|belongs_to
ENTREZ:8601|NCBI_Entrez_Gene|MIM:607193|belongs_to
ENTREZ:5826|NCBI_Entrez_Gene|MIM:603214|belongs_to
ENTREZ:917|NCBI_Entrez_Gene|MIM:186740|belongs_to
ENTREZ:57121|NCBI_Entrez_Gene|MIM:606926|belongs_to
ENTREZ:79885|NCBI_Entrez_Gene|MIM:607226|belongs_to
ENTREZ:59338|NCBI_Entrez_Gene|MIM:607772|belongs_to
ENTREZ:4087|NCBI_Entrez_Gene|MIM:601366|belongs_to
ENTREZ:54922|NCBI_Entrez_Gene|MIM:609623|belongs_to
ENTREZ:79738|NCBI_Entrez_Gene|MIM:610148|belongs_to
ENTREZ:5558|NCBI_Entrez_Gene|MIM:176636|belongs_to
ENTREZ:55168|NCBI_Entrez_Gene|MIM:611981|belongs_to
ENTREZ:166655|NCBI_Entrez_Gene|MIM:619416|belongs_to
ENTREZ:60489|NCBI_Entrez_Gene|MIM:607113|belongs_to
ENTREZ:26085|NCBI_Entrez_Gene|MIM:605505|belongs_to
ENTREZ:54856|NCBI_Entrez_Gene|MIM:610393|belongs_to
